source_file,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,PPA,State Farm Group,"MGA Insurance Company, Inc.",09/19/24,09/13/24,-5.5,-5.5,-5.2,-2985560,17352,59184629,-2.2,-5.0,Rate,False
1,PPA,,AssuranceAmerica Insurance Company,10/31/24,09/09/24,,0.0,0.0,0,26555,47010798,0.0,0.0,Rate,False
1,PPA,,InsureMax Insurance Company,10/31/24,09/09/24,,0.0,0.0,0,21583,35103664,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Encompass Independent Insurance Company,10/27/24,09/09/24,78.3,78.3,12.5,5211307,10108,41690453,18.5,0.0,Rate,False
1,PPA,,Permanent General Assurance Corporation of Ohio,09/06/24,09/06/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,,LM General Insurance Company,10/05/24,09/05/24,19.2,19.2,15.4,18870504,44281,122512761,19.6,3.0,Rate,False
1,HO,,LM Insurance Corporation,10/05/24,09/05/24,19.2,19.2,15.5,1067202,2175,6872236,19.6,10.9,Rate,False
1,HO,,LM General Insurance Company,10/05/24,09/05/24,19.2,19.2,15.4,18870504,44281,122512761,19.6,3.0,Rate,False
1,HO,,LM Insurance Corporation,10/05/24,09/05/24,19.2,19.2,15.5,1067202,2175,6872236,19.6,10.9,Rate,False
1,HO,,,10/07/24,09/05/24,,,,,,,,,Rate,False
1,HO,Allstate Insurance Group,Allstate Vehicle and Property Insurance Company,09/09/24,09/05/24,29.6,29.6,19.9,87786599,260610,441138688,29.9,13.4,Rate,False
1,HO,Alfa Insurance Group,Alfa General Insurance Corporation,09/07/24,09/05/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,Alfa Insurance Group,Alfa Insurance Corporation,09/07/24,09/05/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,,,10/01/24,08/30/24,,,,,,,,,Rate,False
1,PPA,,Homesite Insurance Company of Georgia,09/11/24,08/30/24,,7.0,7.0,1164641,3843,16594794,13.3,1.9,Rate,False
1,PPA,,"Cambridge Mobile Telematics, Inc.",08/30/24,08/29/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,,American Standard Insurance Company of Ohio,10/21/24,08/29/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,,Metromile Insurance Company,09/04/24,08/28/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Property and Casualty Insurance Company of Hartford,10/24/24,08/28/24,28.5,28.5,14.3,376548,1073,2633205,15.7,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,05/27/24,08/27/24,4.3,4.3,4.3,7526089,46669,175025337,8.5,0.0,Rate,False
1,PPA,,Permanent General Assurance Corporation,09/11/24,08/26/24,9.3,9.3,8.6,829433,1897,9762042,12.8,5.3,Rate,False
1,HO,,,10/01/24,08/23/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,,09/27/24,08/20/24,,,,,,,,,Rate,False
1,HO,National Security Group,National Security Fire & Casualty Company,10/01/24,08/19/24,38.7,38.7,14.9,220886,1261,1485319,15.0,14.4,Rate,False
1,HO,National Security Group,National Security Fire & Casualty Company,10/01/24,08/19/24,35.2,35.2,14.9,238777,963,1604376,14.98,14.61,Rate,False
1,PPA,,Permanent General Assurance Corporation of Ohio,09/11/24,08/16/24,2.9,2.9,2.9,1233043,9597,42013851,9.2,0.7,Rate,False
1,PPA,,Homesite Insurance Company of Georgia,09/11/24,08/16/24,7.0,7.0,7.0,1164641,3843,16594794,13.3,1.9,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,12.8,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,12.8,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,12.8,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,12.8,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,12.8,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,7.9,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,7.9,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,7.9,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,7.9,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,7.9,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,11.0,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,11.0,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,11.0,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,11.0,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,11.0,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,Root Insurance Group,Root Property & Casualty Insurance Company,01/05/24,08/15/24,17.6,17.6,9.8,2349408,13446,23973546,239.0,-51.0,Rate,False
1,HO,,Spinnaker Insurance Company,08/29/24,08/15/24,,0.0,0.0,0,5860,10566801,0.0,0.0,Rate,False
1,HO,,Georgia Underwriting Association,09/01/24,08/07/24,19.2,19.2,2.9,100000,1832,3432000,20.0,2.0,Rate,False
1,PPA,Farmers Insurance Group,Farmers Insurance Exchange,09/29/24,08/07/24,,0.0,0.0,0,4480,21616213,7.3,-36.3,Rate,False
1,PPA,,Branch Insurance Exchange,09/01/24,08/07/24,32.9,32.9,12.5,78457,385,626278,20.0,-13.8,Rate,False
1,HO,,Lemonade Insurance Company,09/03/24,08/05/24,40.1,40.1,14.9,2900692,51274,22368423,16.4,0.0,Rate,False
1,PPA,,Georgia Farm Bureau Mutual Insurance Company,08/06/24,08/05/24,,0.0,0.0,0,215723,250449664,0.0,0.0,Rate,False
1,HO,Farmers Insurance Group,Economy Premier Assurance Company,08/05/24,08/05/24,103.9,103.9,9.9,71907,298,726334,9.9,9.7,Rate,False
1,HO,Farmers Insurance Group,,06/19/24,08/05/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Encompass Home and Auto Insurance Company,09/16/24,08/02/24,,0.0,0.0,0,0,26988756,0.0,0.0,Rate,False
1,PPA,,Liberty Mutual Personal Insurance Company,10/08/24,07/31/24,,0.0,0.0,0,20308,78411022,0.0,0.0,Rate,False
1,PPA,,The First Liberty Insurance Corporation,10/08/24,07/31/24,,0.0,0.0,0,4956,17622530,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Encompass Independent Insurance Company,09/16/24,07/31/24,,0.0,0.0,0,0,35048335,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Property and Casualty Insurance Company,08/05/24,07/30/24,,0.0,0.0,0,0,858042935,0.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,PPA,Travelers Group,,10/02/24,07/25/24,,,,,,,,,Rate,True
1,HO,,,07/29/24,07/25/24,,,,,,,,,Rate,True
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
1,HO,,Teachers Insurance Company,07/24/24,07/24/24,28.4,28.4,15.2,315594,806,2078768,21.2,2.0,Rate,False
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
1,HO,,Teachers Insurance Company,07/24/24,07/24/24,28.4,28.4,15.2,315594,806,2078768,21.2,2.0,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,08/28/24,07/24/24,22.848,22.848,9.577,251862,503,2629835,23.3,-7.0,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,08/28/24,07/24/24,22.848,22.848,9.229,2008294,5050,21761157,29.1,-21.5,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,08/28/24,07/24/24,22.848,22.848,10.381,4810430,14878,46339149,30.7,-19.9,Rate,False
1,PPA,,American Family Home Insurance Company,10/01/24,07/19/24,,0.0,0.3,14135,240,4258891,10.0,0.0,Rate,False
1,PPA,,American Family Home Insurance Company,10/01/24,07/19/24,,0.0,0.3,14135,240,4258891,10.0,0.0,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,05/29/24,07/19/24,5.759,5.759,5.532,11555,54,208872,6.7,-8.2,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,05/29/24,07/19/24,5.759,5.759,5.66,1655616,9749,29251172,9.2,-11.1,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,05/29/24,07/19/24,5.759,5.759,5.387,1626880,10079,30200103,8.9,-13.1,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,05/29/24,07/19/24,5.759,5.759,5.532,11555,54,208872,6.7,-8.2,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,05/29/24,07/19/24,5.759,5.759,5.66,1655616,9749,29251172,9.2,-11.1,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,05/29/24,07/19/24,5.759,5.759,5.387,1626880,10079,30200103,8.9,-13.1,Rate,False
1,PPA,Root Insurance Group,Root Insurance Company,05/29/24,07/19/24,5.759,97.5,24.9,51099,1877,205219,29.3,19.5,Rate,False
1,HO,Travelers Group,,02/18/24,06/11/25,,,,,,,,,Rate,False
1,HO,Travelers Group,,09/27/24,06/10/25,,,,,,,,,Rate,False
1,HO,Tower Hill Group,Tower Hill Prime Insurance Company,10/15/24,05/07/25,,45.8,14.58,546958,1649,3750149,19.89,3.42,Rate,False
1,PPA,Allstate Insurance Group,Allstate Insurance Company,05/27/24,01/27/25,3.6,3.6,3.6,3312298,28660,92008271,10.2,0.0,Rate,False
1,PPA,,Clearcover Insurance Company,10/01/24,12/09/24,22.7,22.7,8.9,413710,4026,4648423,16.6,-7.1,Rate,False
1,PPA,,Clearcover Insurance Company,10/01/24,12/09/24,22.7,22.7,11.2,369109,2463,3295612,16.7,-7.5,Rate,False
1,PPA,Allstate Insurance Group,,07/23/24,11/21/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Allstate Indemnity Company,09/30/24,11/21/24,,18.3,18.3,564075,844,3082378,34.2,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Indemnity Company,09/30/24,11/21/24,,59.4,29.8,546189,844,1831738,37.5,0.0,Rate,False
1,HO,,,10/30/24,10/30/24,,,,,,,,,Rate,False
1,HO,,,10/30/24,10/30/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Allstate Northbrook Indemnity Company,10/07/24,10/24/24,,17.5,17.5,2136984,2766,12211336,29.6,0.0,Rate,False
1,PPA,Farmers Insurance Group,Toggle Insurance Company,10/31/24,10/23/24,,0.0,0.0,0,3392,5084027,0.0,0.0,Rate,False
1,PPA,,,10/21/24,10/17/24,,,,,,,,,Rate,False
1,PPA,,"The General Automobile Insurance Company, Inc.",10/16/24,10/16/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,Farmers Insurance Group,Economy Premier Assurance Company,10/25/24,10/15/24,77.2,77.2,12.5,12461,144,99691,12.5,12.5,Rate,False
1,PPA,Farmers Insurance Group,Economy Premier Assurance Company,10/25/24,10/15/24,53.5,53.5,12.5,8662360,29096,69298877,12.5,0.0,Rate,False
1,HO,Allstate Insurance Group,Allstate North American Insurance Company,07/23/24,10/09/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,Farmers Insurance Group,Farmers Insurance Exchange,10/12/24,10/04/24,,0.0,0.0,0,0,21616213,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,10/14/24,10/04/24,,0.0,0.0,0,0,160531903,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Indemnity Company,10/14/24,10/04/24,,0.0,0.0,0,0,2086208,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Insurance Company,10/14/24,10/04/24,,0.0,0.0,0,0,84941924,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Northbrook Indemnity Company,10/14/24,10/04/24,,0.0,0.0,0,0,10110671,0.0,0.0,Rate,False
1,PPA,Root Insurance Group,Root Property & Casualty Insurance Company,07/15/24,10/03/24,20.0,20.0,9.9,10068011,36185,101697080,20.0,-40.38,Rate,False
1,PPA,Allstate Insurance Group,Allstate Northbrook Indemnity Company,09/30/24,10/03/24,,28.5,22.9,1791744,2766,7815184,25.4,0.0,Rate,False
1,PPA,Farmers Insurance Group,Mid-Century Insurance Company,10/12/24,10/02/24,,0.0,0.0,0,0,122829402,0.0,0.0,Rate,False
1,PPA,Farmers Insurance Group,Mid-Century Insurance Company,10/12/24,10/02/24,,0.0,0.0,0,0,22275291,0.0,0.0,Rate,False
1,HO,,Liberty Mutual Insurance Company,10/05/24,09/30/24,19.2,19.2,14.9,986620,39400,6622735,17.2,0.0,Rate,False
1,HO,,Peerless Indemnity Insurance Company,10/05/24,09/30/24,19.2,19.2,15.5,959,36,6189,16.9,8.3,Rate,False
1,HO,,Liberty Mutual Insurance Company,10/05/24,09/30/24,19.2,19.2,14.9,986620,39400,6622735,17.2,0.0,Rate,False
1,HO,,Peerless Indemnity Insurance Company,10/05/24,09/30/24,19.2,19.2,15.5,959,36,6189,16.9,8.3,Rate,False
1,PPA,Root Insurance Group,Root Property & Casualty Insurance Company,09/03/24,09/30/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/24/24,09/23/24,54.2,54.2,14.3,216163,559,1511627,15.6,0.0,Rate,False
1,PPA,,Elephant Insurance Company,08/27/24,09/18/24,27.8,27.8,25.6,2658532,2868,10384890,20.0,-11.5,Rate,False
1,PPA,State Farm Group,"MGA Insurance Company, Inc.",09/19/24,09/13/24,-5.5,-5.5,-5.2,-2985560,17352,59184629,-2.2,-5.0,Rate,False
1,PPA,,AssuranceAmerica Insurance Company,10/31/24,09/09/24,,0.0,0.0,0,26555,47010798,0.0,0.0,Rate,False
1,PPA,,InsureMax Insurance Company,10/31/24,09/09/24,,0.0,0.0,0,21583,35103664,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Encompass Independent Insurance Company,10/27/24,09/09/24,78.3,78.3,12.5,5211307,10108,41690453,18.5,0.0,Rate,False
1,PPA,,Permanent General Assurance Corporation of Ohio,09/06/24,09/06/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,,LM General Insurance Company,10/05/24,09/05/24,19.2,19.2,15.4,18870504,44281,122512761,19.6,3.0,Rate,False
1,HO,,LM Insurance Corporation,10/05/24,09/05/24,19.2,19.2,15.5,1067202,2175,6872236,19.6,10.9,Rate,False
1,HO,,LM General Insurance Company,10/05/24,09/05/24,19.2,19.2,15.4,18870504,44281,122512761,19.6,3.0,Rate,False
1,HO,,LM Insurance Corporation,10/05/24,09/05/24,19.2,19.2,15.5,1067202,2175,6872236,19.6,10.9,Rate,False
1,HO,,,10/07/24,09/05/24,,,,,,,,,Rate,False
1,HO,Allstate Insurance Group,Allstate Vehicle and Property Insurance Company,09/09/24,09/05/24,29.6,29.6,19.9,87786599,260610,441138688,29.9,13.4,Rate,False
1,HO,Alfa Insurance Group,Alfa General Insurance Corporation,09/07/24,09/05/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,Alfa Insurance Group,Alfa Insurance Corporation,09/07/24,09/05/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,,,10/01/24,08/30/24,,,,,,,,,Rate,False
1,PPA,,Homesite Insurance Company of Georgia,09/11/24,08/30/24,,7.0,7.0,1164641,3843,16594794,13.3,1.9,Rate,False
1,PPA,,"Cambridge Mobile Telematics, Inc.",08/30/24,08/29/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,,American Standard Insurance Company of Ohio,10/21/24,08/29/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,,Metromile Insurance Company,09/04/24,08/28/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Property and Casualty Insurance Company of Hartford,10/24/24,08/28/24,28.5,28.5,14.3,376548,1073,2633205,15.7,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Fire and Casualty Insurance Company,05/27/24,08/27/24,4.3,4.3,4.3,7526089,46669,175025337,8.5,0.0,Rate,False
1,PPA,,Permanent General Assurance Corporation,09/11/24,08/26/24,9.3,9.3,8.6,829433,1897,9762042,12.8,5.3,Rate,False
1,HO,,,10/01/24,08/23/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,,09/27/24,08/20/24,,,,,,,,,Rate,False
1,HO,National Security Group,National Security Fire & Casualty Company,10/01/24,08/19/24,38.7,38.7,14.9,220886,1261,1485319,15.0,14.4,Rate,False
1,HO,National Security Group,National Security Fire & Casualty Company,10/01/24,08/19/24,35.2,35.2,14.9,238777,963,1604376,14.98,14.61,Rate,False
1,PPA,,Permanent General Assurance Corporation of Ohio,09/11/24,08/16/24,2.9,2.9,2.9,1233043,9597,42013851,9.2,0.7,Rate,False
1,PPA,,Homesite Insurance Company of Georgia,09/11/24,08/16/24,7.0,7.0,7.0,1164641,3843,16594794,13.3,1.9,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,12.8,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,12.8,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,12.8,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,12.8,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,12.8,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,7.9,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,7.9,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,7.9,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,7.9,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,7.9,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,,GEICO Casualty Company,10/17/24,08/15/24,11.0,7.9,7.9,4757111,35111,60216593,15.0,0.0,Rate,False
1,PPA,,GEICO General Insurance Company,10/17/24,08/15/24,11.0,12.8,3.2,18990765,204828,593461393,24.8,-11.7,Rate,False
1,PPA,,GEICO Indemnity Company,10/17/24,08/15/24,11.0,11.0,3.2,10026733,62966,313335416,24.1,-8.4,Rate,False
1,PPA,,GEICO Secure Insurance Company,10/17/24,08/15/24,11.0,7.9,7.9,7477462,43713,94651413,15.0,0.0,Rate,False
1,PPA,,Government Employees Insurance Company,10/17/24,08/15/24,11.0,12.8,3.2,6199031,61933,193719704,23.9,-11.3,Rate,False
1,PPA,Root Insurance Group,Root Property & Casualty Insurance Company,01/05/24,08/15/24,17.6,17.6,9.8,2349408,13446,23973546,239.0,-51.0,Rate,False
1,HO,,Spinnaker Insurance Company,08/29/24,08/15/24,,0.0,0.0,0,5860,10566801,0.0,0.0,Rate,False
1,HO,,Georgia Underwriting Association,09/01/24,08/07/24,19.2,19.2,2.9,100000,1832,3432000,20.0,2.0,Rate,False
1,PPA,Farmers Insurance Group,Farmers Insurance Exchange,09/29/24,08/07/24,,0.0,0.0,0,4480,21616213,7.3,-36.3,Rate,False
1,PPA,,Branch Insurance Exchange,09/01/24,08/07/24,32.9,32.9,12.5,78457,385,626278,20.0,-13.8,Rate,False
1,HO,,Lemonade Insurance Company,09/03/24,08/05/24,40.1,40.1,14.9,2900692,51274,22368423,16.4,0.0,Rate,False
1,PPA,,Georgia Farm Bureau Mutual Insurance Company,08/06/24,08/05/24,,0.0,0.0,0,215723,250449664,0.0,0.0,Rate,False
1,HO,Farmers Insurance Group,Economy Premier Assurance Company,08/05/24,08/05/24,103.9,103.9,9.9,71907,298,726334,9.9,9.7,Rate,False
1,HO,Farmers Insurance Group,,06/19/24,08/05/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Encompass Home and Auto Insurance Company,09/16/24,08/02/24,,0.0,0.0,0,0,26988756,0.0,0.0,Rate,False
1,PPA,,Liberty Mutual Personal Insurance Company,10/08/24,07/31/24,,0.0,0.0,0,20308,78411022,0.0,0.0,Rate,False
1,PPA,,The First Liberty Insurance Corporation,10/08/24,07/31/24,,0.0,0.0,0,4956,17622530,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Encompass Independent Insurance Company,09/16/24,07/31/24,,0.0,0.0,0,0,35048335,0.0,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Property and Casualty Insurance Company,08/05/24,07/30/24,,0.0,0.0,0,0,858042935,0.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Casualty Insurance Company,10/10/24,07/25/24,34.4,34.4,14.3,8387,33,58651,18.5,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Midwest,10/10/24,07/25/24,34.4,34.4,16.2,357538,710,2207023,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Hartford Insurance Company of the Southeast,10/10/24,07/25/24,34.4,34.4,15.0,1865623,7877,12437485,20.0,0.0,Rate,False
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,PPA,Travelers Group,,10/02/24,07/25/24,,,,,,,,,Rate,True
1,HO,,,07/29/24,07/25/24,,,,,,,,,Rate,True
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
1,HO,,Teachers Insurance Company,07/24/24,07/24/24,28.4,28.4,15.2,315594,806,2078768,21.2,2.0,Rate,False
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
